CP-SW,CP-CVW,CP-S,Res-Gauss,emp coverage,tolerance,n_effective
0.7100329399108887,0.46912074089050293,0.6605079174041748,0.5778081261147975,0.7048128247261047,0.008,43.602318275735726
0.6374987363815308,0.46585533022880554,0.6665205359458923,0.6087571426604751,0.7272727489471436,0.008,41.968132220634395
0.6901211738586426,0.47250887751579285,0.6175409555435181,0.6105212686969076,0.7021390199661255,0.008,39.99607279458659
0.5532978773117065,0.47380366921424866,0.6927655339241028,0.6268151494552856,0.8117647171020508,0.008,42.41944329456466
0.6697216629981995,0.47643157839775085,0.6307406425476074,0.5759264567216396,0.7315508127212524,0.008,34.59882975125878
0.703428328037262,0.4675059914588928,0.6754253506660461,0.5395643808587965,0.7085561752319336,0.008,37.559273568115195
0.6595447063446045,0.4752044379711151,0.6939279437065125,0.5689638862664053,0.726203203201294,0.008,37.81466920492668
0.7343517541885376,0.4672980308532715,0.6611239910125732,0.6202811679120506,0.6796791553497314,0.008,39.75612197377931
0.6374475955963135,0.47673410177230835,0.6771112084388733,0.5986107258750385,0.726203203201294,0.008,34.5265038526654
0.8018659353256226,0.46463289856910706,0.6265866756439209,0.6089225002373866,0.6566845178604126,0.008,36.29655547018141
0.7122225165367126,0.46399587392807007,0.6617605686187744,0.5986545865298734,0.7026737928390503,0.008,45.4301933344274
0.6469707489013672,0.4666091799736023,0.6881418824195862,0.6497737261451555,0.726203203201294,0.008,37.47802297396601
0.6803399920463562,0.4722577929496765,0.7423739433288574,0.6879481097373111,0.7379679083824158,0.008,40.249580686827265
0.810267984867096,0.4741663932800293,0.6006155014038086,0.5833598923096706,0.6401069760322571,0.008,36.54890181668868
0.7068551778793335,0.4648594260215759,0.660454511642456,0.5535654800234776,0.6973261833190918,0.008,34.32853197074174
0.7196143269538879,0.46649420261383057,0.6494675278663635,0.6096554915838609,0.7058823704719543,0.008,38.8117765220356
0.6817593574523926,0.46868783235549927,0.7124063372612,0.6779709687019699,0.6946523785591125,0.008,37.747387290013066
0.6695705652236938,0.46453240513801575,0.5412155389785767,0.48569001595743355,0.710695207118988,0.008,42.36093985615412
0.6960067749023438,0.46521708369255066,0.587334930896759,0.5602010355891565,0.6935828924179077,0.008,40.1876702785647
0.6546289920806885,0.4723978638648987,0.5958390235900879,0.5481606795925078,0.7401069402694702,0.008,36.18163566599763
0.5516149997711182,0.4650785028934479,0.5751746892929077,0.5414364727135403,0.7909091114997864,0.008,38.1568315953199
0.8008259534835815,0.470846027135849,0.7041569352149963,0.6123531619606322,0.6620320677757263,0.008,44.014557105366535
0.7108087539672852,0.4680142402648926,0.7458000183105469,0.6377062443418821,0.7058823704719543,0.008,33.07731782012907
0.725895881652832,0.46708977222442627,0.6642687916755676,0.6902882063684432,0.6663101315498352,0.008,39.44777656293656
0.6200671792030334,0.46347346901893616,0.6251023411750793,0.5638111675394525,0.7438502907752991,0.008,46.86763541638523
0.6608668565750122,0.47589585185050964,0.7229636907577515,0.6056283672065431,0.7465240359306335,0.008,41.805068985400986
0.6800531148910522,0.47245320677757263,0.710884153842926,0.6115860380419216,0.7385026812553406,0.008,39.742817450305644
0.6008415222167969,0.46533897519111633,0.6239907741546631,0.6261210481166289,0.7796791195869446,0.008,34.970425729539784
0.6270962357521057,0.4703255891799927,0.6517403721809387,0.5833054884912297,0.7631015777587891,0.008,37.684695577717015
0.7557256817817688,0.47522521018981934,0.6381103992462158,0.6232969465963157,0.6834224462509155,0.008,41.2002200688656
0.723782479763031,0.46528980135917664,0.6560068130493164,0.6094951305645989,0.6844919919967651,0.008,39.98296472290422
0.6906915307044983,0.4802946448326111,0.6846299767494202,0.65458195366097,0.7053475975990295,0.008,42.68187383601934
0.6871679425239563,0.46415239572525024,0.6600010395050049,0.58865178451352,0.7090908885002136,0.008,35.62208692086318
0.6411048173904419,0.47421619296073914,0.6193850040435791,0.5961428419308943,0.7411764860153198,0.008,27.21264917300779
0.6995952725410461,0.47517162561416626,0.6853806972503662,0.47740702541913627,0.6925133466720581,0.008,50.03980725614222
0.685624361038208,0.47064679861068726,0.6229590177536011,0.45016918934000205,0.7192513346672058,0.008,35.94312111054431
0.7264118790626526,0.4647079110145569,0.650390088558197,0.6050265673986287,0.6834224462509155,0.008,41.96038284285984
0.6710176467895508,0.46505019068717957,0.6787471175193787,0.6490269069604794,0.7085561752319336,0.008,36.12464611947823
0.734081506729126,0.46500447392463684,0.6442742943763733,0.6054131015336548,0.6818181872367859,0.008,38.097027082145566
0.6572486758232117,0.473396360874176,0.7014093995094299,0.6535848260137179,0.7240641713142395,0.008,40.713001795267964
