CP-S,CP-CV,Res-Gauss,emp coverage,tolerance
0.8137531280517578,0.6131061911582947,0.7978434139639321,0.7961564660072327,0.15
0.805271565914154,0.6205989718437195,0.7880711728190334,0.8140013813972473,0.15
0.814277708530426,0.6037770509719849,0.7978269265810201,0.7940974831581116,0.15
0.813768208026886,0.6116974949836731,0.7990592390414427,0.7975291609764099,0.15
0.8160219192504883,0.6083348989486694,0.794860542621674,0.7995882034301758,0.15
0.8126218318939209,0.6084802746772766,0.7938087956526427,0.7906657457351685,0.15
0.8104832768440247,0.6201725006103516,0.7913737596959416,0.8043925762176514,0.15
0.8071283102035522,0.6109559535980225,0.7924623185384079,0.8016472458839417,0.15
0.817316472530365,0.6039250493049622,0.7951625655380825,0.7858613729476929,0.15
0.8170813918113708,0.6160012483596802,0.8025038353670618,0.7989018559455872,0.15
0.8073437213897705,0.6062456369400024,0.7902899631816894,0.8071379661560059,0.15
0.8136277198791504,0.6088775396347046,0.7970117666947225,0.7913520932197571,0.15
0.8157628178596497,0.6022894382476807,0.79908377320255,0.7920384407043457,0.15
0.8188612461090088,0.6064070463180542,0.8013234351028964,0.7920384407043457,0.15
0.8070918917655945,0.6059393286705017,0.7903687342097122,0.7920384407043457,0.15
0.8047990798950195,0.6115708947181702,0.7860817947065414,0.7975291609764099,0.15
0.812285840511322,0.6015354990959167,0.7950918355318151,0.7906657457351685,0.15
0.8145045638084412,0.6059513688087463,0.7936844335151163,0.7968428134918213,0.15
0.8112759590148926,0.6120413541793823,0.7921060761996628,0.8071379661560059,0.15
0.811612606048584,0.6135272979736328,0.7966000123439965,0.8030198812484741,0.15
0.8187330365180969,0.605426549911499,0.8030045410649796,0.7995882034301758,0.15
0.807262122631073,0.6041699647903442,0.7888672988494838,0.7913520932197571,0.15
0.8128494620323181,0.6111538410186768,0.7942839533268993,0.7989018559455872,0.15
0.8081554770469666,0.6061562299728394,0.7890980444530044,0.7920384407043457,0.15
0.8142228126525879,0.6145254969596863,0.792216199224169,0.7995882034301758,0.15
0.8187700510025024,0.6114875674247742,0.8027420323858476,0.795470118522644,0.15
0.8231919407844543,0.6078649759292603,0.8025437573038233,0.7858613729476929,0.15
0.815955400466919,0.6081134080886841,0.7975662271821214,0.8002745509147644,0.15
0.8196525573730469,0.6102043390274048,0.803633366471976,0.7968428134918213,0.15
0.8116859197616577,0.6184412240982056,0.7941773073734316,0.8098832964897156,0.15
0.8045057654380798,0.6040148138999939,0.7884886549064033,0.7886067032814026,0.15
0.8168755769729614,0.6106113791465759,0.8007229281241595,0.7947838306427002,0.15
0.8035519123077393,0.6039488315582275,0.7842618430278038,0.793411135673523,0.15
0.8184581398963928,0.6089512705802917,0.8004129166940653,0.8016472458839417,0.15
0.8164066076278687,0.6081743836402893,0.7984594554287107,0.795470118522644,0.15
0.8160281181335449,0.6099205613136292,0.8027236225486332,0.7865477204322815,0.15
0.8131071925163269,0.613339900970459,0.7965095534716561,0.7920384407043457,0.15
0.8107109069824219,0.6141757369041443,0.7908669330071033,0.8023335337638855,0.15
0.8109075427055359,0.6044028997421265,0.7870325644950567,0.8037062287330627,0.15
0.8092085123062134,0.6052025556564331,0.7895387603644718,0.8043925762176514,0.15
0.8122694492340088,0.6128171682357788,0.788560778199726,0.7975291609764099,0.15
0.8038817048072815,0.60809725522995,0.7805157421831265,0.800960898399353,0.15
0.8177381157875061,0.6009616255760193,0.8003164903811955,0.7892930507659912,0.15
0.8157785534858704,0.6062748432159424,0.800174351556189,0.7968428134918213,0.15
0.802570104598999,0.6041275858879089,0.7805880873829327,0.7906657457351685,0.15
0.8146005868911743,0.6044562458992004,0.7987947041362551,0.795470118522644,0.15
0.8096747994422913,0.6058250665664673,0.7944819557409525,0.7995882034301758,0.15
0.813178539276123,0.6102041006088257,0.7957666874036506,0.7927247881889343,0.15
0.8096597194671631,0.6146698594093323,0.7907278578850129,0.8043925762176514,0.15
0.8154116868972778,0.6078613996505737,0.7954783866749371,0.7995882034301758,0.15
0.8090049624443054,0.6084096431732178,0.7894136903332315,0.795470118522644,0.15
0.8063535690307617,0.6071342825889587,0.7863081885548799,0.795470118522644,0.15
0.8155201077461243,0.6054235696792603,0.7960913288483534,0.7913520932197571,0.15
0.820555567741394,0.6083121299743652,0.80334426138248,0.7947838306427002,0.15
0.8072366714477539,0.6045567989349365,0.7852471946166365,0.7858613729476929,0.15
0.8163579702377319,0.6082590818405151,0.8004549123477249,0.7940974831581116,0.15
0.8149769902229309,0.6035913825035095,0.7954421159590113,0.7872340679168701,0.15
0.8107589483261108,0.6083775162696838,0.7868064309256917,0.7913520932197571,0.15
0.8110050559043884,0.6126273274421692,0.7929689601543524,0.7995882034301758,0.15
0.805914044380188,0.6126841902732849,0.7849573037300521,0.8043925762176514,0.15
0.8040969967842102,0.607520341873169,0.7867896401796424,0.8023335337638855,0.15
0.8279743790626526,0.6133497953414917,0.8107388755958805,0.7892930507659912,0.15
0.8058152198791504,0.6099270582199097,0.7883947529024048,0.8030198812484741,0.15
0.8171402812004089,0.6119903922080994,0.8055446739964587,0.7899793982505798,0.15
0.8188736438751221,0.6055722832679749,0.8046495100144864,0.7975291609764099,0.15
0.8099786043167114,0.604249894618988,0.792243269784747,0.7920384407043457,0.15
0.8097035884857178,0.6051267981529236,0.7946485493389138,0.8023335337638855,0.15
0.8178636431694031,0.6050102710723877,0.7963792250139529,0.795470118522644,0.15
0.8076398372650146,0.6025989055633545,0.7858084302674696,0.8030198812484741,0.15
0.8114294409751892,0.6084163784980774,0.7901119288615465,0.8071379661560059,0.15
0.8114959001541138,0.6083602905273438,0.7927776336389158,0.8037062287330627,0.15
0.8092770576477051,0.6079251766204834,0.7856551637738739,0.795470118522644,0.15
0.815830647945404,0.6091423630714417,0.8011960075703624,0.7927247881889343,0.15
0.8097379803657532,0.6115070581436157,0.789580240529862,0.80507892370224,0.15
0.8160953521728516,0.6060407757759094,0.7950831942229408,0.7968428134918213,0.15
0.8100519180297852,0.6098714470863342,0.7935673885639792,0.7995882034301758,0.15
0.8114053606987,0.6096706390380859,0.7956213597722241,0.7989018559455872,0.15
0.8131256699562073,0.6124299764633179,0.7950027607005159,0.7995882034301758,0.15
0.8246344923973083,0.6161364912986755,0.8074349341472746,0.80507892370224,0.15
0.8059599995613098,0.6024248003959656,0.7886447825577472,0.7961564660072327,0.15
0.8094965219497681,0.6158871650695801,0.7909079818219479,0.8037062287330627,0.15
0.8041723966598511,0.6054038405418396,0.7844114842900812,0.7940974831581116,0.15
0.8075953125953674,0.606971025466919,0.7867861155193889,0.7982155084609985,0.15
0.8144031763076782,0.6062896847724915,0.7972399929876979,0.7906657457351685,0.15
0.8139320611953735,0.6071638464927673,0.7934854483870906,0.7899793982505798,0.15
0.8144771456718445,0.6128847599029541,0.7983860628321635,0.7982155084609985,0.15
0.8121240139007568,0.6117570996284485,0.787860028575017,0.8016472458839417,0.15
0.8215854167938232,0.6058712601661682,0.808113130120095,0.7961564660072327,0.15
0.8184903264045715,0.6134966015815735,0.801633815712908,0.7961564660072327,0.15
