CP-S,CP-CV,Res-Gauss,emp coverage,tolerance
0.5651730895042419,0.36361539363861084,0.512993336046386,0.5674114227294922,0.2
0.5645220875740051,0.36543363332748413,0.5144042642159784,0.5693374276161194,0.2
0.5673178434371948,0.363124817609787,0.5132068388249669,0.5674114227294922,0.2
0.5743355751037598,0.3660125732421875,0.5139265945824569,0.5670261979103088,0.2
0.5592044591903687,0.36749640107154846,0.5136483229032923,0.5703004598617554,0.2
0.5758282542228699,0.3651691675186157,0.5130842174337773,0.5683743953704834,0.2
0.5759590268135071,0.3660648465156555,0.5147313525214114,0.5652927756309509,0.2
0.5922565460205078,0.3643098771572113,0.5135763555716996,0.5672187805175781,0.2
0.5813992023468018,0.3673335015773773,0.5144066791318493,0.569915235042572,0.2
0.5977998971939087,0.36751899123191833,0.5146647345564256,0.5639445185661316,0.2
0.5994190573692322,0.3658493459224701,0.5148299382046373,0.5631741285324097,0.2
0.5588681697845459,0.3657929003238678,0.5134189358025346,0.5716487169265747,0.2
0.5846915245056152,0.3644517660140991,0.5149149526531558,0.5685670375823975,0.2
0.5473105311393738,0.36369404196739197,0.5128922914094516,0.5703004598617554,0.2
0.5645142197608948,0.3660377860069275,0.514477782364023,0.5697226524353027,0.2
0.5799492597579956,0.3666852116584778,0.514136185855475,0.5660631656646729,0.2
0.5888452529907227,0.3678657114505768,0.5140274365977588,0.5672187805175781,0.2
0.5857584476470947,0.365231990814209,0.5141078425052583,0.5695300698280334,0.2
0.5864549279212952,0.3666703402996063,0.5143287011420296,0.5658705830574036,0.2
0.5671818256378174,0.3657974600791931,0.5137219475091719,0.5683743953704834,0.2
0.5862773060798645,0.365655779838562,0.5138286084715938,0.5658705830574036,0.2
0.5834325551986694,0.3664323091506958,0.5140862628719596,0.5693374276161194,0.2
0.5763956904411316,0.3640677332878113,0.513278788092513,0.5674114227294922,0.2
0.5673677325248718,0.36736980080604553,0.5140157638901567,0.5747303366661072,0.2
0.571852445602417,0.3670066297054291,0.5149830294381742,0.5716487169265747,0.2
0.5776245594024658,0.3643902838230133,0.5131246152043936,0.5695300698280334,0.2
0.5901161432266235,0.3660106360912323,0.5136325225556343,0.5668336153030396,0.2
0.5746393203735352,0.36826765537261963,0.514120840685938,0.5693374276161194,0.2
0.5863920450210571,0.3635171949863434,0.5138232716853037,0.5658705830574036,0.2
0.5612391829490662,0.367207795381546,0.5146346817252196,0.5729969143867493,0.2
0.5672047138214111,0.3650245666503906,0.5139916339245985,0.5695300698280334,0.2
0.576104462146759,0.3640974164009094,0.512713082408776,0.5676040053367615,0.2
0.567462146282196,0.36483147740364075,0.5141439768888404,0.5712634921073914,0.2
0.5638971924781799,0.36838987469673157,0.5141788455148543,0.571841299533844,0.2
0.5832937955856323,0.36568504571914673,0.5141291406874329,0.5652927756309509,0.2
0.5722751617431641,0.3654620349407196,0.5143829736231862,0.5695300698280334,0.2
0.5631034970283508,0.3662179410457611,0.5148508038238624,0.5726116895675659,0.2
0.5771889686584473,0.3654686510562897,0.5134969299598409,0.5689522624015808,0.2
0.5870304703712463,0.364139586687088,0.5141698432324032,0.5664483904838562,0.2
0.5687087774276733,0.3666876554489136,0.5145531815323879,0.5733821392059326,0.2
0.5720309615135193,0.36350584030151367,0.5133084325168337,0.5654853582382202,0.2
0.5618755221366882,0.36432331800460815,0.5132894642505059,0.5710708498954773,0.2
0.5668978095054626,0.3649190068244934,0.5134423377916588,0.5662558078765869,0.2
0.5614643096923828,0.3646802306175232,0.5141982608606044,0.571841299533844,0.2
0.5726984739303589,0.3643890917301178,0.5136498767732145,0.5685670375823975,0.2
0.5899476408958435,0.36792460083961487,0.5144211394394734,0.5681818127632141,0.2
0.5739939212799072,0.3650691509246826,0.514116010570042,0.570878267288208,0.2
0.5774537324905396,0.36578649282455444,0.5136815813240955,0.5731894969940186,0.2
0.5934086441993713,0.365434467792511,0.5134486605246691,0.5664483904838562,0.2
0.5846837759017944,0.36566680669784546,0.5143673579467469,0.5677965879440308,0.2
0.5797834992408752,0.36427825689315796,0.5146159238317699,0.5658705830574036,0.2
0.5591235756874084,0.3661556839942932,0.5142431538315733,0.5722265243530273,0.2
0.5727434754371643,0.36383888125419617,0.5141604230940172,0.5712634921073914,0.2
0.5675989985466003,0.363564133644104,0.5133945878459091,0.5681818127632141,0.2
0.5943849682807922,0.36643797159194946,0.5140525034517486,0.5654853582382202,0.2
0.5803521871566772,0.36776116490364075,0.5151459611712801,0.570878267288208,0.2
0.5748463273048401,0.3646017611026764,0.5133792578393873,0.5668336153030396,0.2
0.557892382144928,0.3627656400203705,0.5133067684610763,0.5687596201896667,0.2
0.5596933960914612,0.3637624680995941,0.5140229510489592,0.570878267288208,0.2
0.5695629119873047,0.3638223707675934,0.514338654319475,0.5704930424690247,0.2
0.5689785480499268,0.3657381236553192,0.5141149281548227,0.569915235042572,0.2
0.57915198802948,0.3677079975605011,0.5147964995031222,0.5733821392059326,0.2
0.5962961912155151,0.36430850625038147,0.5138105766962686,0.5647149682044983,0.2
0.5714939832687378,0.36319699883461,0.5139193342659304,0.5687596201896667,0.2
0.5845262408256531,0.3655492663383484,0.5135113958069837,0.5651001334190369,0.2
