CP-S,CP-CV,Res-Gauss,emp coverage,tolerance
0.8567607998847961,0.32868388295173645,0.7479843508594444,0.8608527183532715,0.001
0.8558314442634583,0.32960036396980286,0.7536878351508025,0.8612403273582458,0.001
0.8732275366783142,0.3288209140300751,0.7650512699254289,0.854651153087616,0.001
0.8784339427947998,0.32970404624938965,0.7687510358568146,0.8523255586624146,0.001
0.8417606353759766,0.3297741413116455,0.7258694336824568,0.8666666746139526,0.001
0.860518217086792,0.32934674620628357,0.7255033058880742,0.8593023419380188,0.001
0.8620337843894958,0.3305860161781311,0.7734218018488886,0.8589147329330444,0.001
0.8412910103797913,0.32756656408309937,0.7313086882341875,0.8662790656089783,0.001
0.8586881756782532,0.3298126757144928,0.7557930259774283,0.8600775003433228,0.001
0.8632419109344482,0.33006349205970764,0.7729408553736002,0.8577519655227661,0.001
0.8433672189712524,0.3289549648761749,0.737922306548574,0.8658914566040039,0.001
0.8343594074249268,0.32974550127983093,0.7283495914135233,0.868992269039154,0.001
0.8547545671463013,0.32892677187919617,0.7645572144950521,0.8616279363632202,0.001
0.855618953704834,0.328715443611145,0.7862378711298852,0.8608527183532715,0.001
0.8511782884597778,0.3292415738105774,0.7458078563205908,0.8627907037734985,0.001
0.8686040043830872,0.32858896255493164,0.7631447958753246,0.8558139801025391,0.001
0.851347804069519,0.33018621802330017,0.7334415565367938,0.8627907037734985,0.001
0.8723055720329285,0.32906708121299744,0.7903908798517824,0.8542635440826416,0.001
0.8525593876838684,0.3297339081764221,0.7389061581344643,0.8616279363632202,0.001
0.8580017685890198,0.3286149501800537,0.74709596539432,0.8600775003433228,0.001
0.8566955924034119,0.32932019233703613,0.739040131518506,0.8604651093482971,0.001
0.8537675142288208,0.3289736807346344,0.7575271271833258,0.8620154857635498,0.001
0.8609406352043152,0.327186644077301,0.7625432243556745,0.8589147329330444,0.001
0.8658941388130188,0.32812929153442383,0.797352365129959,0.8569767475128174,0.001
0.8668280839920044,0.3294018507003784,0.7601504110245791,0.856589138507843,0.001
0.8465558290481567,0.3303043842315674,0.7517735063866242,0.8639534711837769,0.001
0.853459894657135,0.32679468393325806,0.7517822714549897,0.8620154857635498,0.001
0.8593167066574097,0.32875263690948486,0.7794035757701807,0.8596899509429932,0.001
0.843011736869812,0.32875651121139526,0.7303494974368928,0.8662790656089783,0.001
0.8683542609214783,0.3291402757167816,0.7932031246919533,0.8562015295028687,0.001
0.877005934715271,0.3273349404335022,0.8083332230365174,0.8527131676673889,0.001
0.863092839717865,0.32816988229751587,0.7610733305377785,0.8581395149230957,0.001
0.8646906614303589,0.32816410064697266,0.7655497337866262,0.8573643565177917,0.001
0.8582348227500916,0.33019107580184937,0.7553294889250178,0.8596899509429932,0.001
0.8488465547561646,0.3289407789707184,0.7421792503891887,0.8635658621788025,0.001
0.8560839295387268,0.3291367292404175,0.7545057394511308,0.8608527183532715,0.001
0.8531333208084106,0.3272746801376343,0.7675283492440559,0.8620154857635498,0.001
0.8726626038551331,0.3277539014816284,0.7987423643028115,0.8542635440826416,0.001
0.8646408915519714,0.3288673162460327,0.7636467809739159,0.8577519655227661,0.001
0.8765277862548828,0.3284817039966583,0.7901185157766082,0.8531007766723633,0.001
0.8631886839866638,0.3297109603881836,0.7744809761762216,0.8581395149230957,0.001
0.8589189648628235,0.3297366797924042,0.7774991186787704,0.8596899509429932,0.001
0.8627575039863586,0.32729122042655945,0.7535194452467917,0.8585271239280701,0.001
0.8498740792274475,0.32884082198143005,0.7476352333081294,0.8631783127784729,0.001
0.8530337810516357,0.3292110562324524,0.7630792223832438,0.8620154857635498,0.001
0.8511658906936646,0.3295866549015045,0.7380857867223737,0.8627907037734985,0.001
0.8615702986717224,0.32934731245040894,0.7627555721451119,0.8589147329330444,0.001
0.8616949915885925,0.32651054859161377,0.7590263123175164,0.8589147329330444,0.001
0.8407642841339111,0.32790982723236084,0.7608713555498335,0.8666666746139526,0.001
0.8600829243659973,0.32921406626701355,0.7591063380474415,0.8596899509429932,0.001
0.8597362637519836,0.329271137714386,0.7526365221633835,0.8596899509429932,0.001
0.8730777502059937,0.3284355700016022,0.7879417030785316,0.8542635440826416,0.001
0.8722849488258362,0.32999223470687866,0.7730668500526036,0.854651153087616,0.001
0.8820295333862305,0.32956162095069885,0.801978475443586,0.8507751822471619,0.001
0.8575052618980408,0.3282880485057831,0.7500084090501778,0.8600775003433228,0.001
0.8493003845214844,0.3292825520038605,0.7229232766988354,0.8635658621788025,0.001
0.8631415963172913,0.32978343963623047,0.7413531484235382,0.8577519655227661,0.001
0.8551446199417114,0.3273829221725464,0.7422251798582475,0.8616279363632202,0.001
0.8537644743919373,0.32921427488327026,0.7570985247054135,0.8620154857635498,0.001
0.8531115651130676,0.32768210768699646,0.7226075465075159,0.8616279363632202,0.001
0.8564417362213135,0.3291267454624176,0.7490925737879985,0.8608527183532715,0.001
0.8542981147766113,0.3288728892803192,0.7637125766915754,0.8612403273582458,0.001
0.8377507925033569,0.33143630623817444,0.7412475991777758,0.8686046600341797,0.001
0.8648934960365295,0.32980406284332275,0.7764434477273278,0.8573643565177917,0.001
0.8678262233734131,0.32830050587654114,0.7563368116342504,0.856589138507843,0.001
0.8559681177139282,0.3276464641094208,0.721853658319994,0.8608527183532715,0.001
0.8726038336753845,0.32982030510902405,0.7819956359160534,0.8542635440826416,0.001
0.8637378215789795,0.32763561606407166,0.7770659518396993,0.8581395149230957,0.001
0.8519976139068604,0.32908371090888977,0.7701187414837359,0.8627907037734985,0.001
0.8340553641319275,0.3284248411655426,0.7238870210311449,0.8693798184394836,0.001
0.8572051525115967,0.3299141824245453,0.78303521496361,0.8600775003433228,0.001
0.8591474890708923,0.328555166721344,0.7693854210182173,0.8596899509429932,0.001
0.8568243980407715,0.33025774359703064,0.7736174054626135,0.8608527183532715,0.001
0.8790457248687744,0.3289094865322113,0.7671462700502018,0.8523255586624146,0.001
0.8483942747116089,0.32989057898521423,0.7379276897849775,0.8635658621788025,0.001
0.8615210652351379,0.33056989312171936,0.7685889772353097,0.8585271239280701,0.001
0.8364452719688416,0.3319133520126343,0.7260230813375607,0.8682170510292053,0.001
0.8655645251274109,0.32728010416030884,0.781619960056782,0.8573643565177917,0.001
0.8602692484855652,0.3283000588417053,0.7719707051722681,0.8596899509429932,0.001
0.8639400601387024,0.32745420932769775,0.8058396851021785,0.8577519655227661,0.001
0.8666452765464783,0.32791727781295776,0.7961449787919982,0.8569767475128174,0.001
0.8457332849502563,0.3299179971218109,0.7314845255352371,0.8643410801887512,0.001
0.840278685092926,0.32876914739608765,0.7767598207162146,0.8666666746139526,0.001
0.8588388562202454,0.3298913240432739,0.7536857795624471,0.8596899509429932,0.001
0.8524124622344971,0.32940199971199036,0.7384782043218193,0.8620154857635498,0.001
0.8657005429267883,0.32946810126304626,0.7520693927945856,0.8573643565177917,0.001
0.8507066965103149,0.3266546130180359,0.7730026138661078,0.8627907037734985,0.001
0.8654654622077942,0.3278813064098358,0.7826293914076913,0.8573643565177917,0.001
0.8482164740562439,0.33021703362464905,0.747872262121127,0.8639534711837769,0.001
0.8660614490509033,0.3284701108932495,0.7736223565255153,0.8569767475128174,0.001
0.8736670017242432,0.3278646171092987,0.7984373321220785,0.853875994682312,0.001
0.8676171898841858,0.32856371998786926,0.7622196001926463,0.856589138507843,0.001
0.8653005361557007,0.32964059710502625,0.7720888030762844,0.8573643565177917,0.001
0.8823381066322327,0.32781025767326355,0.8242512657284085,0.8503875732421875,0.001
0.8497467041015625,0.32784587144851685,0.746702075246915,0.8635658621788025,0.001
0.8667285442352295,0.32769837975502014,0.7933128865484774,0.8569767475128174,0.001
0.8626548051834106,0.3284449875354767,0.759058950826888,0.8585271239280701,0.001
0.8533547520637512,0.3290494680404663,0.7513833602430571,0.8620154857635498,0.001
0.8504254221916199,0.32755428552627563,0.7744084278937772,0.8635658621788025,0.001
0.8662238121032715,0.32735246419906616,0.7816103380327688,0.8569767475128174,0.001
